identifier,label,set
CYSO_AERPE,1,train
G1PDH_AERPE,1,train
PGMI_AERPE,1,train
OFOB1_AERPE,1,train
GLK_AERPE,1,train
OFOA2_AERPE,1,train
MTAP_AERPE,1,train
KVAP_AERPE,1,train
AIPS_AERPE,1,train
BRIX_AERPE,1,train
ALBA2_AERPE,1,train
IF2P_AERPE,1,train
KPTA_AERPE,1,train
EF1A_AERPE,1,train
APE1_AERPE,1,train
DPHB_AERPE,1,train
FLPA_AERPE,1,train
APEH_AERPE,1,train
PYRE_AERPE,1,train
RL12_AERPE,1,train
ILVC_ALIAD,1,train
SQHC_ALIAD,1,train
BGAL_ALIAD,1,train
THER_ALIAC,1,train
THIO_ALIAC,1,train
MRAY_AQUAE,1,train
LPXC_AQUAE,1,train
ISPH_AQUAE,1,train
PBPA_AQUAE,1,train
RISB_AQUAE,1,train
RIB7_AQUAE,1,train
FER2_AQUAE,1,train
GPH_AQUAE,1,train
KAD_AQUAE,1,train
TOP4B_AQUAE,1,train
MURA_AQUAE,1,train
FTSH_AQUAE,1,train
AROD_AQUAE,1,train
FABG_AQUAE,1,train
BSUHB_AQUAE,1,train
AMT_AQUAE,1,train
ERA_AQUAE,1,train
LPXK_AQUAE,1,train
KDSA_AQUAE,1,train
ISCU_AQUAE,1,train
SSRP_AQUAE,1,train
RL20_AQUAE,1,train
TATC_AQUAE,1,train
SELA_AQUAE,1,train
SYLA_AQUAE,1,train
RSGA_AQUAE,1,train
NUSB_AQUAE,1,train
MOAE_AQUAE,1,train
PHOU_AQUAE,1,train
MOBA_AQUAE,1,train
MTNB_AQUAE,1,train
KDSB_AQUAE,1,train
LON_AQUAE,1,train
RFRNP_AQUAE,1,train
PLSY_AQUAE,1,train
NUSG_AQUAE,1,train
RNH3_AQUAE,1,train
MUTL_AQUAE,1,train
NTPTH_AQUAE,1,train
RS6_AQUAE,1,train
MNMG_AQUAE,1,train
DAPA_AQUAE,1,train
DCDA_AQUAE,1,train
GLNB_AQUAE,1,train
FABI_AQUAE,1,train
FLHB_AQUAE,1,train
FTSZ_AQUAE,1,train
FLAA_AQUAE,1,train
AROC_AQUAE,1,train
GATA_AQUAE,1,train
FABH_AQUAE,1,train
FER1_AQUAE,1,train
DNAG_AQUAE,1,train
DCUP_AQUAE,1,train
SPEH_AQUAE,1,train
SECG_AQUAE,1,train
YBEY_AQUAE,1,train
TRMD_AQUAE,1,train
Y1857_AQUAE,1,train
SELD_AQUAE,1,train
SYP_AQUAE,1,train
TRMH_AQUAE,1,train
TADA_AQUAE,1,train
TILS_AQUAE,1,train
Y328_AQUAE,1,train
TPX_AQUAE,1,train
SATC_AQUAE,1,train
Y1627_AQUAE,1,train
Y1494_AQUAE,1,train
SECE_AQUAE,1,train
Y178_AQUAE,1,train
AROK_AQUAE,1,train
COPA_ARCFU,1,train
BSUHB_ARCFU,1,train
ALADH_ARCFU,1,train
FERCR_ARCFU,1,train
COFE_ARCFU,1,train
NADK_ARCFU,1,train
CBIX_ARCFU,1,train
