identifier,label,set
P09167,nonThermophiles,train
A0KLG5,nonThermophiles,train
O69199,nonThermophiles,train
Q07465,nonThermophiles,train
P40600,nonThermophiles,train
B3FN88,nonThermophiles,train
P10480,nonThermophiles,train
P19369,nonThermophiles,train
P31780,nonThermophiles,train
B9J8S0,nonThermophiles,train
B9JK80,nonThermophiles,train
Q9KWN1,nonThermophiles,train
P0A3W4,nonThermophiles,train
Q44185,nonThermophiles,train
P0A3W6,nonThermophiles,train
A6XIG7,nonThermophiles,train
P0A2V1,nonThermophiles,train
P39671,nonThermophiles,train
P33905,nonThermophiles,train
P27644,nonThermophiles,train
P29824,nonThermophiles,train
B9JK73,nonThermophiles,train
P09776,nonThermophiles,train
P39669,nonThermophiles,train
P24466,nonThermophiles,train
P24467,nonThermophiles,train
P29822,nonThermophiles,train
P29823,nonThermophiles,train
B9JN20,nonThermophiles,train
Q8VPD5,nonThermophiles,train
P0A3U7,nonThermophiles,train
P35114,nonThermophiles,train
Q04152,nonThermophiles,train
P0A4T3,nonThermophiles,train
B9J8G8,nonThermophiles,train
P0A3W0,nonThermophiles,train
Q57471,nonThermophiles,train
A9CH39,nonThermophiles,train
Q7CRQ0,nonThermophiles,train
Q8UGL3,nonThermophiles,train
Q7CWR3,nonThermophiles,train
A9CJC9,nonThermophiles,train
Q8U8Z6,nonThermophiles,train
Q59701,nonThermophiles,train
Q8UG67,nonThermophiles,train
P17798,nonThermophiles,train
A9CKY2,nonThermophiles,train
Q7CS13,nonThermophiles,train
P08062,nonThermophiles,train
P25548,nonThermophiles,train
P60527,nonThermophiles,train
A9CK30,nonThermophiles,train
A7TZT2,nonThermophiles,train
Q8UE07,nonThermophiles,train
Q8UHA8,nonThermophiles,train
P35120,nonThermophiles,train
Q8UB77,nonThermophiles,train
P58758,nonThermophiles,train
Q7CVK1,nonThermophiles,train
Q7CXI0,nonThermophiles,train
A9CHM9,nonThermophiles,train
Q7CUX4,nonThermophiles,train
A9CEQ7,nonThermophiles,train
Q8UG81,nonThermophiles,train
Q8UJW4,nonThermophiles,train
P50019,nonThermophiles,train
Q8UAA9,nonThermophiles,train
Q8UAA8,nonThermophiles,train
P18592,nonThermophiles,train
P07165,nonThermophiles,train
P15597,nonThermophiles,train
P08063,nonThermophiles,train
Q8UEU8,nonThermophiles,train
P17795,nonThermophiles,train
A9CES5,nonThermophiles,train
P10799,nonThermophiles,train
Q8UIR1,nonThermophiles,train
Q8U919,nonThermophiles,train
A9CES6,nonThermophiles,train
P17800,nonThermophiles,train
P18594,nonThermophiles,train
Q5P5G4,nonThermophiles,train
Q5P5G5,nonThermophiles,train
Q5P5G6,nonThermophiles,train
Q5P5G3,nonThermophiles,train
P81006,nonThermophiles,train
P35640,nonThermophiles,train
Q9S3V1,nonThermophiles,train
P30967,nonThermophiles,train
Q9S3U9,nonThermophiles,train
Q9S3V0,nonThermophiles,train
Q9S3U8,nonThermophiles,train
Q7P0E6,nonThermophiles,train
Q7P0P8,nonThermophiles,train
Q7NSA6,nonThermophiles,train
Q09T02,nonThermophiles,train
P15879,nonThermophiles,train
P19321,nonThermophiles,train
P0DPR0,nonThermophiles,train
P0DPK1,nonThermophiles,train
P46085,nonThermophiles,train
A5HZ59,nonThermophiles,train
Q331T7,nonThermophiles,train
Q9LBR2,nonThermophiles,train
P46083,nonThermophiles,train
Q47UY5,nonThermophiles,train
Q485S0,nonThermophiles,train
P83310,nonThermophiles,train
P24305,nonThermophiles,train
Q8KN28,nonThermophiles,train
Q93T12,nonThermophiles,train
A5FB63,nonThermophiles,train
A5FJK8,nonThermophiles,train
A5FF23,nonThermophiles,train
A6GWM2,nonThermophiles,train
P81894,nonThermophiles,train
Q74FU6,nonThermophiles,train
Q74FW6,nonThermophiles,train
Q749L1,nonThermophiles,train
Q747K6,nonThermophiles,train
P61425,nonThermophiles,train
Q74CU0,nonThermophiles,train
Q74B57,nonThermophiles,train
Q43998,nonThermophiles,train
O05542,nonThermophiles,train
Q47945,nonThermophiles,train
G5EBD7,nonThermophiles,train
Q5FQ97,nonThermophiles,train
O05544,nonThermophiles,train
Q5FPE5,nonThermophiles,train
P80354,nonThermophiles,train
Q8F3Q1,nonThermophiles,train
Q72NJ3,nonThermophiles,train
Q72U69,nonThermophiles,train
Q93LE9,nonThermophiles,train
Q8F8T4,nonThermophiles,train
Q8EXP7,nonThermophiles,train
Q72V44,nonThermophiles,train
A0A095AMW7,nonThermophiles,train
Q03ZL5,nonThermophiles,train
Q03ZI1,nonThermophiles,train
Q03ZL6,nonThermophiles,train
Q03ZT0,nonThermophiles,train
Q03YI6,nonThermophiles,train
P81053,nonThermophiles,train
Q59495,nonThermophiles,train
Q03WN0,nonThermophiles,train
O53076,nonThermophiles,train
P81052,nonThermophiles,train
P15824,nonThermophiles,train
A6URZ5,nonThermophiles,train
P10623,nonThermophiles,train
P15826,nonThermophiles,train
Q9FA38,nonThermophiles,train
Q59516,nonThermophiles,train
C5B137,nonThermophiles,train
P71517,nonThermophiles,train
P14774,nonThermophiles,train
Q49150,nonThermophiles,train
C5B135,nonThermophiles,train
Q83WS0,nonThermophiles,train
Q49135,nonThermophiles,train
C5B2R8,nonThermophiles,train
O85014,nonThermophiles,train
C5B138,nonThermophiles,train
P04171,nonThermophiles,train
P55819,nonThermophiles,train
Q49149,nonThermophiles,train
A5IZ80,nonThermophiles,train
Q9AE87,nonThermophiles,train
P56601,nonThermophiles,train
P54738,nonThermophiles,train
Q1DB00,nonThermophiles,train
P15266,nonThermophiles,train
Q50900,nonThermophiles,train
Q1CW50,nonThermophiles,train
Q1DEM0,nonThermophiles,train
P54737,nonThermophiles,train
Q02861,nonThermophiles,train
P21159,nonThermophiles,train
P80921,nonThermophiles,train
Q07405,nonThermophiles,train
Q1DB04,nonThermophiles,train
P02966,nonThermophiles,train
P38586,nonThermophiles,train
Q07765,nonThermophiles,train
Q1CW46,nonThermophiles,train
Q07766,nonThermophiles,train
P21158,nonThermophiles,train
Q06909,nonThermophiles,train
Q06911,nonThermophiles,train
Q1CW51,nonThermophiles,train
P07386,nonThermophiles,train
P38370,nonThermophiles,train
Q06910,nonThermophiles,train
P18769,nonThermophiles,train
P43500,nonThermophiles,train
Q9S449,nonThermophiles,train
Q1CW44,nonThermophiles,train
Q8EMJ9,nonThermophiles,train
Q04HB7,nonThermophiles,train
Q83XX3,nonThermophiles,train
A1B8Z1,nonThermophiles,train
P98002,nonThermophiles,train
Q51705,nonThermophiles,train
P22619,nonThermophiles,train
P12293,nonThermophiles,train
A1B8Z0,nonThermophiles,train
Q8VUS8,nonThermophiles,train
P08306,nonThermophiles,train
P29915,nonThermophiles,train
P29914,nonThermophiles,train
P10772,nonThermophiles,train
A1B348,nonThermophiles,train
P13627,nonThermophiles,train
P00096,nonThermophiles,train
P05417,nonThermophiles,train
P29913,nonThermophiles,train
P29923,nonThermophiles,train
Q51669,nonThermophiles,train
P29898,nonThermophiles,train
A1B8Z4,nonThermophiles,train
A1B4L2,nonThermophiles,train
P29967,nonThermophiles,train
P22364,nonThermophiles,train
P77921,nonThermophiles,train
P54820,nonThermophiles,train
A1B8N7,nonThermophiles,train
A1B8P1,nonThermophiles,train
Q51658,nonThermophiles,train
P29917,nonThermophiles,train
A1B619,nonThermophiles,train
A1B479,nonThermophiles,train
A1AXZ2,nonThermophiles,train
A1B495,nonThermophiles,train
A1AY86,nonThermophiles,train
P29894,nonThermophiles,train
A1B9Z3,nonThermophiles,train
P05418,nonThermophiles,train
P38975,nonThermophiles,train
A1B8N9,nonThermophiles,train
P38974,nonThermophiles,train
P45382,nonThermophiles,train
P06030,nonThermophiles,train
P52218,nonThermophiles,train
B8X8Z0,nonThermophiles,train
Q6CZT4,nonThermophiles,train
Q6D0W9,nonThermophiles,train
Q6CZT3,nonThermophiles,train
Q6D0X0,nonThermophiles,train
Q6D820,nonThermophiles,train
Q6D8V3,nonThermophiles,train
Q6D5T7,nonThermophiles,train
Q6CZ23,nonThermophiles,train
Q6CZ24,nonThermophiles,train
Q6D0W8,nonThermophiles,train
Q6D0W7,nonThermophiles,train
Q6D8V9,nonThermophiles,train
Q6D8V4,nonThermophiles,train
P29739,nonThermophiles,train
Q52581,nonThermophiles,train
Q12DF1,nonThermophiles,train
Q128M1,nonThermophiles,train
Q122C7,nonThermophiles,train
P11741,nonThermophiles,train
P15528,nonThermophiles,train
P00124,nonThermophiles,train
P29957,nonThermophiles,train
P81650,nonThermophiles,train
Q3IHM8,nonThermophiles,train
Q3IJ73,nonThermophiles,train
Q51371,nonThermophiles,train
Q9I700,nonThermophiles,train
Q02MM2,nonThermophiles,train
Q9I3T5,nonThermophiles,train
Q9HVD1,nonThermophiles,train
Q9HZQ8,nonThermophiles,train
Q9I1X7,nonThermophiles,train
Q9ZN70,nonThermophiles,train
Q9HUF7,nonThermophiles,train
O69078,nonThermophiles,train
Q9HYF1,nonThermophiles,train
P14789,nonThermophiles,train
Q8RNT4,nonThermophiles,train
Q9I596,nonThermophiles,train
Q9HY69,nonThermophiles,train
G3XD76,nonThermophiles,train
P80358,nonThermophiles,train
Q9KGU7,nonThermophiles,train
P00099,nonThermophiles,train
Q9HWD2,nonThermophiles,train
Q9I5F3,nonThermophiles,train
A0A0H2ZI93,nonThermophiles,train
Q9I738,nonThermophiles,train
P37321,nonThermophiles,train
Q9HVI1,nonThermophiles,train
P14285,nonThermophiles,train
P18275,nonThermophiles,train
G3XDA3,nonThermophiles,train
P14608,nonThermophiles,train
Q9I4E3,nonThermophiles,train
P07874,nonThermophiles,train
Q9I701,nonThermophiles,train
P26841,nonThermophiles,train
Q9HZA7,nonThermophiles,train
O50174,nonThermophiles,train
P10932,nonThermophiles,train
Q9HUI8,nonThermophiles,train
P00282,nonThermophiles,train
P21175,nonThermophiles,train
Q9I6D1,nonThermophiles,train
Q06749,nonThermophiles,train
Q9HWR3,nonThermophiles,train
P96956,nonThermophiles,train
Q9I0R2,nonThermophiles,train
Q03170,nonThermophiles,train
P18895,nonThermophiles,train
P13981,nonThermophiles,train
Q9I0Q8,nonThermophiles,train
Q9I5R6,nonThermophiles,train
Q9HXZ2,nonThermophiles,train
P00106,nonThermophiles,train
Q9HWF9,nonThermophiles,train
P14165,nonThermophiles,train
G3XD67,nonThermophiles,train
Q9I1S2,nonThermophiles,train
P33883,nonThermophiles,train
P0A183,nonThermophiles,train
P28810,nonThermophiles,train
Q02DS7,nonThermophiles,train
Q02H15,nonThermophiles,train
Q9HUX4,nonThermophiles,train
Q9I1W5,nonThermophiles,train
A0A0H2ZHZ4,nonThermophiles,train
Q02NB5,nonThermophiles,train
G3XD29,nonThermophiles,train
Q59647,nonThermophiles,train
Q9HW93,nonThermophiles,train
P24908,nonThermophiles,train
Q9I509,nonThermophiles,train
Q9HUU1,nonThermophiles,train
P33639,nonThermophiles,train
Q9I5V8,nonThermophiles,train
Q9HTK7,nonThermophiles,train
Q9I0A3,nonThermophiles,train
Q9I0D9,nonThermophiles,train
P0DP45,nonThermophiles,train
P20581,nonThermophiles,train
P57112,nonThermophiles,train
Q51485,nonThermophiles,train
Q9HTB6,nonThermophiles,train
Q9HUL3,nonThermophiles,train
Q02I31,nonThermophiles,train
Q9I685,nonThermophiles,train
Q05097,nonThermophiles,train
Q9HU21,nonThermophiles,train
Q9I2U8,nonThermophiles,train
P05103,nonThermophiles,train
Q02SM0,nonThermophiles,train
Q51422,nonThermophiles,train
Q02N79,nonThermophiles,train
Q9I4X1,nonThermophiles,train
P0DMR4,nonThermophiles,train
Q9HZN4,nonThermophiles,train
P38107,nonThermophiles,train
P40883,nonThermophiles,train
Q9I4F9,nonThermophiles,train
G3XCZ8,nonThermophiles,train
P25060,nonThermophiles,train
A6V1E4,nonThermophiles,train
Q9HTZ1,nonThermophiles,train
Q9I5U2,nonThermophiles,train
Q9HZK0,nonThermophiles,train
Q9I2J9,nonThermophiles,train
Q59643,nonThermophiles,train
Q9HVM5,nonThermophiles,train
Q9I2V0,nonThermophiles,train
Q9I4V0,nonThermophiles,train
P09786,nonThermophiles,train
Q9HTH8,nonThermophiles,train
Q9I676,nonThermophiles,train
Q9I5W4,nonThermophiles,train
Q9HW01,nonThermophiles,train
Q9I4X0,nonThermophiles,train
K4LAH1,nonThermophiles,train
Q9HZE0,nonThermophiles,train
Q9I0M3,nonThermophiles,train
Q9HVT8,nonThermophiles,train
Q9HXB1,nonThermophiles,train
Q9HWZ6,nonThermophiles,train
O34206,nonThermophiles,train
Q9HWK6,nonThermophiles,train
Q9HUH5,nonThermophiles,train
P65116,nonThermophiles,train
Q9I636,nonThermophiles,train
Q9I0M4,nonThermophiles,train
F8SJR0,nonThermophiles,train
Q51547,nonThermophiles,train
Q9HZ62,nonThermophiles,train
Q9HI36,nonThermophiles,train
Q04804,nonThermophiles,train
Q9I434,nonThermophiles,train
Q02KR1,nonThermophiles,train
A0A0H2ZJC1,nonThermophiles,train
Q9HTN9,nonThermophiles,train
Q9HVM1,nonThermophiles,train
Q9I6Z1,nonThermophiles,train
P22008,nonThermophiles,train
Q9HWG9,nonThermophiles,train
Q9I6Z0,nonThermophiles,train
Q06553,nonThermophiles,train
Q9ZI86,nonThermophiles,train
Q9HUL9,nonThermophiles,train
P52003,nonThermophiles,train
Q07806,nonThermophiles,train
P50597,nonThermophiles,train
P40947,nonThermophiles,train
P00392,nonThermophiles,train
Q51481,nonThermophiles,train
Q9HW09,nonThermophiles,train
Q9I574,nonThermophiles,train
Q01269,nonThermophiles,train
Q9I317,nonThermophiles,train
Q9HV31,nonThermophiles,train
P05695,nonThermophiles,train
Q9I194,nonThermophiles,train
P38108,nonThermophiles,train
Q9HX21,nonThermophiles,train
Q9HWA4,nonThermophiles,train
Q51559,nonThermophiles,train
P23181,nonThermophiles,train
Q9HZM5,nonThermophiles,train
P52477,nonThermophiles,train
Q9HVZ9,nonThermophiles,train
P24735,nonThermophiles,train
P0C2B2,nonThermophiles,train
Q9I3N1,nonThermophiles,train
P47205,nonThermophiles,train
Q9HTH5,nonThermophiles,train
P04140,nonThermophiles,train
P26993,nonThermophiles,train
Q9HWT6,nonThermophiles,train
Q9HVW0,nonThermophiles,train
Q9K3C5,nonThermophiles,train
P25084,nonThermophiles,train
Q02I11,nonThermophiles,train
