Protein_ID	Probability	Type
sp|P26918|BLAB_AERHY	0.22878447	Mesophilic
sp|Q06903|PPCE_AERHY	0.032306075	Mesophilic
sp|Q6RSN5|DNAJ_RHIRD	0.0044835806	Mesophilic
sp|P0A3F3|GLGA1_RHIRD	0.08958474	Mesophilic
sp|P0A4N5|OCCQ_RHIRD	0.26935652	Mesophilic
sp|A9CH28|DPES_AGRFC	0.12357235	Mesophilic
sp|A9CK16|TADA_AGRFC	0.013440847	Mesophilic
sp|A9CEQ8|GCI_AGRFC	0.01693517	Mesophilic
sp|A9CES3|ATRDH_AGRFC	0.0084812045	Mesophilic
sp|P14012|ARGI_AGRFC	0.0014760792	Mesophilic
sp|Q8UH15|TAM_AGRFC	0.010379553	Mesophilic
sp|Q8U671|DHAA_AGRFC	0.010245234	Mesophilic
sp|Q8UD95|CLPS2_AGRFC	0.9040361	Thermophilic
sp|P18591|VIRD1_AGRFC	0.01506719	Mesophilic
sp|P07166|VIRC2_AGRFC	0.0019528866	Mesophilic
sp|B2TEK6|NMO_PARPJ	0.0047922432	Mesophilic
sp|Q7NXD4|35NBP_CHRVO	0.00073876977	Mesophilic
sp|Q331T8|TUBY_CBCP	0.10242602	Mesophilic
sp|Q331T6|TUBR_CBCP	0.99380696	Thermophilic
sp|Q485R8|PY2CR_COLP3	0.0063818395	Mesophilic
sp|Q482G5|AROA_COLP3	0.08691591	Mesophilic
sp|Q11T61|AAEP_CYTH3	0.3741785	Mesophilic
sp|P83309|SDPA_DELAC	0.00011476761	Mesophilic
sp|Q9RNZ9|TFDD_DELAC	0.008736879	Mesophilic
sp|Q8KRP0|GLDH_FLAJ1	0.4851853	Mesophilic
sp|Q39TV7|BAMA_GEOMG	0.12220314	Mesophilic
sp|Q74FU5|SFRB_GEOSL	0.3544262	Mesophilic
sp|Q74A86|OMCS_GEOSL	0.0005195439	Mesophilic
sp|Q74C76|CIMA_GEOSL	0.4331872	Mesophilic
sp|P84838|OMPC_GLUDA	0.03572327	Mesophilic
sp|Q5FUK8|G6PD_GLUOX	0.069066286	Mesophilic
sp|Q8F445|LEU11_LEPIN	0.04438725	Mesophilic
sp|Q03V79|METAA_LEUMM	0.14713195	Mesophilic
sp|Q03ZL4|ECFT_LEUMM	0.13141724	Mesophilic
sp|P38577|MTCY_LEUME	0.04753673	Mesophilic
sp|Q50837|HIS3_METVA	0.78500736	Thermophilic
sp|Q49118|FHCD_METEA	0.0399566	Mesophilic
sp|O85012|MTDB_METEA	0.024834216	Mesophilic
sp|P21161|DCMA_METED	0.4689002	Mesophilic
sp|Q0PEV3|PHYR_METEA	0.017549366	Mesophilic
sp|P36774|LON2_MYXXA	0.6215203	Thermophilic
sp|P33973|PKN1_MYXXA	0.022950888	Mesophilic
sp|Q1D823|AGLZ_MYXXD	3.5099046e-07	Mesophilic
sp|P48516|IF3_MYXXA	0.050630897	Mesophilic
sp|Q1CW45|CAS6_MYXXD	0.05205518	Mesophilic
sp|Q59589|PILA_MYXXD	0.0029977858	Mesophilic
sp|O68873|ARGE_MYXXA	0.030467749	Mesophilic
sp|P95468|TYRB_PARDE	0.030822068	Mesophilic
sp|A1B8P0|ATPB_PARDP	0.011498541	Mesophilic
sp|A1B497|NUOB_PARDP	0.014642417	Mesophilic
sp|A1B487|NUOH_PARDP	0.22325665	Mesophilic
sp|Q6D0N7|DTNK_PECAS	0.00020825863	Mesophilic
sp|Q6D8V6|LERK_PECAS	0.0005605817	Mesophilic
sp|Q6CZ26|LTND_PECAS	0.002260983	Mesophilic
sp|Q3S4B7|3HBH_POLNA	0.028345168	Mesophilic
sp|P77814|PEPQ_PSEHA	0.014520705	Mesophilic
sp|Q51372|ALGX_PSEAE	0.08770257	Mesophilic
sp|P51691|ARS_PSEAE	0.3500879	Mesophilic
sp|G3XCY4|AMRZ_PSEAE	0.0002900362	Mesophilic
sp|Q51507|PCHB_PSEAE	0.058241963	Mesophilic
sp|P22610|LEP4_PSEAE	0.092561215	Mesophilic
sp|Q9HU05|CHMU_PSEAE	0.00013670325	Mesophilic
sp|Q9HYV7|BEKAS_PSEAE	0.002847433	Mesophilic
sp|O87131|CHER1_PSEAE	0.03474763	Mesophilic
sp|Q9I5W0|DNAG_PSEAE	0.016156733	Mesophilic
sp|Q9HU17|DCTQ_PSEAE	0.49668056	Mesophilic
sp|Q02E40|ALGC_PSEAB	0.27720362	Mesophilic
sp|P27017|AMIC_PSEAE	0.26103592	Mesophilic
sp|O07293|BLO18_PSEAI	0.009206355	Mesophilic
sp|Q9HTN2|ARGB_PSEAE	0.29497826	Mesophilic
sp|P11436|AMIE_PSEAE	0.18074185	Mesophilic
sp|Q9HXJ7|BAMB_PSEAE	0.2727173	Mesophilic
sp|Q9HWT7|HPAB_PSEAE	0.06868687	Mesophilic
sp|P28811|MMSB_PSEAE	0.0011337698	Mesophilic
sp|Q06578|IMM1_PSEAI	0.8889771	Thermophilic
sp|P17323|LPPL_PSEAE	0.96941847	Thermophilic
sp|Q9I3D1|DLDH2_PSEAE	0.048103392	Mesophilic
sp|Q9I0A4|SYFB_PSEAE	0.030758977	Mesophilic
sp|Q9HTX3|P5217_PSEAE	0.00782159	Mesophilic
sp|Q06584|PYS2_PSEAE	0.015309274	Mesophilic
sp|Q9HUK9|THTR_PSEAE	0.07361999	Mesophilic
sp|Q02QC9|PPBH_PSEAB	0.0012070239	Mesophilic
sp|Q03026|INH_PSEAE	0.00023856759	Mesophilic
sp|P47204|FTSZ_PSEAE	0.00047317147	Mesophilic
sp|Q9HYZ7|MINC_PSEAE	0.07074845	Mesophilic
sp|Q9HXN1|MLTF_PSEAE	0.21738541	Mesophilic
sp|P48246|HEM4_PSEAE	0.1691606	Mesophilic
